,index,para,label,document,predictions
0,0,"TITLE
",0,US10029427-20180724.txt,0
1,1,"Process for the production of storage-stable polyurethane prepregs and mouldings produced therefrom from dissolved polyurethane composition
",0,US10029427-20180724.txt,0
2,2,"ABSTRACT
",0,US10029427-20180724.txt,0
3,3,"The invention relates to a method for producing storage-stable polyurethane prepregs and molding bodies produced therefrom (composite components), which can be obtained by a method using a polyurethane composition in solution and by impregnation of fiber-reinforced materials such as of woven fabrics and laid scrim using reactive polyurethane compositions.
",0,US10029427-20180724.txt,0
4,4,"The invention relates to a process for the production of storage-stable polyurethane prepregs and mouldings produced therefrom (composite components), obtainable by a process using a dissolved polyurethane composition by impregnation of fibre reinforced materials such as fabrics and non-wovens with the use of reactive polyurethane compositions.
",0,US10029427-20180724.txt,0
5,5,"Various moulding processes, such as for example the reaction transfer moulding (RTM) process, comprise the introduction of the reinforcing fibres into a mould, the closing of the mould, the introduction of the crosslinkable resin formulation into the mould and the subsequent crosslinking of the resin, typically by application of heat.
",0,US10029427-20180724.txt,0
6,6,"One of the limitations of such a process is relative difficulty of laying the reinforcing fibres in the mould. The individual layers of the fabric or non-woven must be cut to size and adapted to a great variety of mould geometries. This can be both time-intensive and also complicated, in particular when the moulding is also intended to contain foam or other cores. Mouldable fibre reinforcements with simple handling and pre-existing reshaping possibilities would be desirable here.
",0,US10029427-20180724.txt,0
7,7,"Fibre reinforced materials in the form of prepregs are already used in many industrial applications because of their ease of handling and the increased efficiency during processing in comparison to the alternative wet lay-up technology.
",0,US10029427-20180724.txt,0
8,8,"Industrial users of such systems, as well as faster cycle times and higher storage stabilities even at room temperature, also demand the possibility of cutting the prepregs to size, without the cutting tools becoming contaminated with the often sticky matrix material during automated cutting to size and lay-up of the individual prepreg layers.
",0,US10029427-20180724.txt,0
9,9,"As well as polyesters, vinyl esters and epoxy systems, there are a range of specialized resins in the field of the crosslinking matrix systems. These also include polyurethane resins, which because of their toughness, damage tolerance and strength are used in particular for the production of composite profiles by pultrusion processes. The toxicity of the isocyanates used is often mentioned as a disadvantage.
",0,US10029427-20180724.txt,0
10,10,"Polyurethane composites also exhibit superior toughness compared to vinyl esters, unsaturated polyester resins (UPR) or UPR-urethane hybrid resins.
",0,US10029427-20180724.txt,0
11,11,"Prepregs and composites produced therefrom on the basis of epoxy systems are for example described in WO 98/50211, U.S. Pat. Nos. 4,992,228, 5,080,857, 5,427,725, GB 2007676, GB 2182074, EP 309 221, EP 297 674, WO 89/04335, U.S. Pat. Nos. 5,532,296 and 4,377,657, 4,757,120.
",0,US10029427-20180724.txt,0
12,12,"In WO 2006/043019, a process for the production of prepregs on the basis of epoxy resin polyurethane powders is described.
",0,US10029427-20180724.txt,0
13,13,"Furthermore, prepregs based on thermoplastics in powder form as the matrix are known.
",0,US10029427-20180724.txt,0
14,14,"In US 2004/0231598, a method is described wherein the particles are passed through a special acceleration chamber with electrostatic charging. This device is used for the coating of glass, aramid or carbon fibre substrates for the production of prepregs from thermoplastic resins. As resins, polyethylene (PE), polypropylene (PP), polyether ether ketone (PEEK), polyether sulphone (PES), polyphenyl sulphone (PPS), polyimide (PI), polyamide (PA), polycarbonate (PC), polyethylene terephthalate (PET), polyurethane (PU), polyester and fluoro polymers are mentioned. The thermoplastic prepreg textiles produced therefrom exhibit inherent toughness, good viscoelastic damping behaviour, unlimited storage life, and good chemicals resistance and recyclability.
",0,US10029427-20180724.txt,0
15,15,"In WO 98/31535, a method for powder impregnation is described, wherein the glass or carbon fibre strands to be impregnated are impacted with a particle/liquid or particle/gas mixture in a defined velocity profile. In this, the powders consist of ceramic or thermoplastic materials, inter alia thermoplastic polyurethane.
",0,US10029427-20180724.txt,0
16,16,"In WO 99/64216, prepregs and composites and a method for the production thereof are described, wherein emulsions with polymer particles so small that individual fibre coating is enabled are used. The polymers of the particles have a viscosity of at least 5000 centipoises and are either thermoplastics or crosslinking polyurethane polymers.
",0,US10029427-20180724.txt,0
17,17,"In EP 0590702, powder impregnations for the production of prepregs are described, wherein the powder consists of a mixture of a thermoplastic and a reactive monomer or prepolymers. WO 2005/091715 likewise describes the use of thermoplastics for the production of prepregs.
",0,US10029427-20180724.txt,0
18,18,"Michaeli et al. describe the development of a powder technology for a pultrusion process with thermoplastic polyurethanes, referred to as TPU, in Coatings & Composite Materials, No. 19, p 37-39, 1997. Further, in the article Processing and properties of thermoplastic polyurethane prepreg. (Ma, C. C. M.; Chiang, C. L. Annual Technical Conference—Society of Plastics Engineers (1991), 49th 2065-9.) thermoplastic polyurethane (TPU) prepregs based on TPU systems containing solvents and water are disclosed.
",0,US10029427-20180724.txt,0
19,19,"Prepregs with a matrix based on 2-component polyurethanes (2-C PUR) are known. The category of the 2-C PUR essentially comprises the standard reactive polyurethane resin systems. In principle, this is a system made up of two separate components. While the critical ingredient of one component is always a polyisocyanate, in the case of the second this is polyols, or with recent developments also amino- or amine-polyol mixtures. The two parts are only mixed together shortly before processing. Thereafter the chemical curing takes place by polyaddition with formation of a network of polyurethane or polyurea. After mixing of the two components, 2-component systems have a limited processing time (stand time, pot life), as the reaction that sets in leads to a gradual viscosity increase and finally to gelling of the system. However, many factors determine the effective duration of its processability: reactivity of the reaction partners, catalysis, concentration, solubility, moisture content, NCO/OH ratio and ambient temperature are the most important [Lackharze, Stoye/Freitag, Hauser-Verlag 1996, pages 210/212]. The disadvantage of the prepregs based on such 2-C PUR systems is that only a short time is available for the processing of the prepreg into a composite. Consequently such prepregs are not stable over several hours, let alone days.
",0,US10029427-20180724.txt,0
20,20,"Below there follows a description of the polyurethane prepregs or composites based on 2-C PUR systems. In the article by K. Recker, the development of a 2-C polyurethane system for the resin mat process with particular reference to the processing properties for SMC components is reported. (Baypreg—a novel POLYURETHANE material for the resin mat process, Recker, Klaus, Kunststoffe-Plastics 8, 1981).
",0,US10029427-20180724.txt,0
21,21,"WO 2005/049301 discloses a catalytically activated 2-C PUR system, wherein the poly-isocyanate component and the polyol are mixed and processed into a composite by pultrusion.
",0,US10029427-20180724.txt,0
22,22,"In WO 2005/106155, fibre reinforced composites for the construction industry are disclosed, which are produced by the long fibre injection (LFI) technology with 2-C polyurethane systems.
",0,US10029427-20180724.txt,0
23,23,"In JP 2004196851, composites are described which are produced from carbon fibres and organic fibres, such as for example hemp, with the use of a matrix of 2-C PUR based on polymeric methylenediphenyl diisocyanate (MDI) and specific OH group-containing compounds.
",0,US10029427-20180724.txt,0
24,24,"EP 1 319 503 describes polyurethane composites wherein special polyurethane covering layers for a fibre laminate impregnated with a 2-C PUR resin, which coats a core layer (e.g. a paper honeycomb) are used. The 2-C PUR resin for example consists of MDI and a mixture of polypropylene triols and diols from ethylene oxide propylene oxide copolymers.
",0,US10029427-20180724.txt,0
25,25,"In WO 2003/101719, polyurethane-based composites and the methods of production are described. These are 2-C polyurethane resins with defined viscosities and specific gel times.
",0,US10029427-20180724.txt,0
26,26,"2-C PUR systems are also discussed in: “Fiber reinforced polyurethane composites: shock tolerant components with particular emphasis on armor plating” (Ratcliffe, Colin P.; Crane, Roger M.; Santiago, Armando L., AMD (1995), 211 (Innovative Processing and Characterization of Composite Materials), 29-37.) and in Fiber-reinforced polyurethane composites. I. Process feasibility and morphology. (Ma, Chen Chi M.; Chen, Chin Hsing. International SAMPE Symposium and Exhibition (1992), 37 (Mater. Work. You 21st Century), 1062-74.)
",0,US10029427-20180724.txt,0
27,27,"Apart from the different binder basis, moisture-curing lacquers largely correspond to analogous 2-C systems both in their composition and also in their properties. In principle, the same solvents, pigments, fillers and auxiliary substances are used. Unlike 2-C lacquers, for stability reasons these systems tolerate no moisture whatsoever before their application.
",0,US10029427-20180724.txt,0
28,28,"Also known are physically drying systems based on non-reactive PUR elastomers. These are high molecular weight, linear, thermoplastic urethanes from diols and diisocyanates, preferably MDI, TDI, HDI and IPDI. Such thermoplastic systems as a rule exhibit very high viscosities and hence also very high processing temperatures. This critically hinders their use for prepregs. In the production of prepregs with fibre composites, the use of powders in reactive systems is more unusual and until now has been limited to a few use fields. Probably the most common process for applying a powder onto a fibre surface is the fluidized bed process (fluidized bed impregnation). By means of an upwardly directed flow, powder particles are converted to a state wherein they exhibit fluid-like properties. This process is used in EP 590 702. In this, the strands of individual fibre bundles are floated apart and coated with the powder in the fluidized bed. The powder here consists of a mixture of reactive and thermoplastic powder, in order thus to optimize the properties of the matrix. Finally, individual rovings (fibre bundles) are laid together and several layers compressed under a pressure of 16 bar for about 20 minutes. The temperatures vary between 250 and 350° C. However, in the fluidized bed process irregular coating often occurs, in particular if the strands are not pulled apart.
",0,US10029427-20180724.txt,0
29,29,"Concerning this, in US 20040231598 a method is proposed which functions similarly to the fluidized bed process. In this, an air flow transports the particles to the substrate and a uniform deposition of the powder is effected through a specific configuration.
",0,US10029427-20180724.txt,0
30,30,"A further process is described in US 20050215148. There uniform distributions of the powder on the fibres are achieved with the device just mentioned. In this, the particle size ranges from 1 to 2000 μm. In several experiments, coating is effected from one or from two sides. Through the uniform application of the powder, laminates with no air inclusions are obtained after subsequent compression of the prepreg.
",0,US10029427-20180724.txt,0
31,31,"A further application, WO 2006/043019, describes the use of epoxy and amino-terminated resins in powder form. In this, the powders are mixed and applied onto the fibres. Next, the particles are sintered on. The particle size lies between 1 and 3000 μm, but preferably between 1 and 150 μm.
",0,US10029427-20180724.txt,0
32,32,"This restriction of the particle size to rather small diameters is also recommended in a study by the Michigan State University. The theory here is that particles with small diameters will more likely be able to penetrate into cavities between individual filaments than particles with larger diameters (S. Padaki, L. T. Drzal: a simulation study on the effects of particle size on the consolidation of polymer powder impregnated tapes, Department of Chemical Engineering, Michigan State University, Composites: Part A (1999), pp. 325-337).
",0,US10029427-20180724.txt,0
33,33,"Apart from the prepreg technology, reactive powder systems are also used in other standard processes, for example in winding technology [M. N. Ghasemi Nejhad, K. M. Ikeda: Design, manufacture and characterization of composites using on-line recycled thermoplastic powder impregnation of fibres and in-situ filament winding, Department of Mechanical Engineering, University of Hawaii at Manoa, Journal of Thermoplastic Composite Materials, Vol 11, pp. 533-572, November 1998] or in the pultrusion process. For the pultrusion process for example fibre strands (towpregs) are coated with the powder and firstly wound and stored as so-called towpregs. One possibility for their production is described in an article in the SAMPE Journal [R. E. Allred, S. P. Wesson, D. A. Babow: powder impregnation studies for high temperature towpregs, Adherent Technologies, SAMPE Journal, Vol. 40, No. 6, pp. 40-48, November/December 2004]. In a further study, such towpregs were pressed together by the pultrusion process and cured to give material components [N. C. Parasnis, K. Ramani, H. M. Borgaonkar: Ribbonizing of electrostatic powder spray impregnated thermoplastic tows by pultrusion, School of Mechanical Engineering, Purdue University, Composites, Part A, Applied science and manufacturing, Vol. 27, pp. 567-574, 1996]. Although the production of towpregs and subsequent compression in the pultrusion process had already been performed with duroplastic systems, to a large extent only thermoplastic systems have until now been used in this process.
",0,US10029427-20180724.txt,0
34,34,"In DE 102009001793.3 and DE 102009001806.9, a process is described for the production of storage-stable prepregs, essentially made up of A) at least one fibrous support and B) at least one reactive polyurethane composition in powder form as the matrix material.
",0,US10029427-20180724.txt,0
35,35,"The objective was to find a simpler process for the production of simple to handle, that is non-toxic, polyurethane-based prepreg systems based on polyurethane compositions. A further objective of this invention was to find prepregs with polyurethane matrix material which can be produced by a simple process, wherein the main emphasis should be placed on the handling and storage life of the prepregs.
",0,US10029427-20180724.txt,0
36,36,"For the production of the prepregs it would be advantageous if the viscosity of formulations of the noncrosslinked matrix materials is low enough to ensure wetting of the fibrous support with sufficient fibre volume content during the production of the composite component, during which thixotropy can also be advantageous, so that run-off of the resin in vertical component segments can be prevented.
",0,US10029427-20180724.txt,0
37,37,"Through the choice of suitable starting materials for production of the matrix materials, a sufficiently long processing time (depending on the particular application in the production of the composites) between the melting of the not completely reacted matrix material and the completion of the reaction should be ensured.
",0,US10029427-20180724.txt,0
38,38,"Surprisingly, it has now been found that it is possible to produce adequately impregnated, reactive and storage-stable prepregs by first dissolving the individual components in an identical suitable solvent (C), saturating/impregnating the fibrous support with this solution, and then, at low temperature (<100° C.) completely removing the solvent (by, for example, thermal treatment or application of vacuum). Prepregs are thus obtained with at least the same or even improved processing properties as those described in DE 102009001793 or DE 102009001806, which can be used for the production of high performance composites for various applications in the sector of the construction, automobile, aerospace industry, energy technology (wind power plants) and in boat and ship-building. The reactive polyurethane compositions usable according to the invention are environmentally harmless, low cost, exhibit good mechanical properties, are easy to process and after curing are characterized by good weather resistance and a balanced relationship between rigidity and flexibility.
",0,US10029427-20180724.txt,0
39,39,"The subject matter of the invention is a process for the production of prepregs essentially made up of A) at least one fibrous support
",0,US10029427-20180724.txt,0
40,40,"and
",0,US10029427-20180724.txt,0
41,41,"B) at least one reactive polyurethane composition as matrix material,
",0,US10029427-20180724.txt,0
42,42,"wherein the polyurethane compositions essentially contain mixtures of a polymer b) having functional groups reactive towards isocyanates as binder and di- or poly-isocyanates internally blocked and/or blocked with blocking agents as curing agents a), in at least one solvent (C),
",0,US10029427-20180724.txt,0
43,43,"I. by production of the reactive polyurethane composition B) in at least one solvent (C), and
",0,US10029427-20180724.txt,0
44,44,"II. direct impregnation of the fibrous support A) with the solution from B),
",0,US10029427-20180724.txt,0
45,45,"III. removal of the solvent.
",0,US10029427-20180724.txt,0
46,46,"The principle of the process for the production of prepregs consists in that firstly a solution of the reactive polyurethane composition B) is produced from the individual components thereof in an identical suitable solvent (C). This solution of the reactive polyurethane composition B) is then directly applied onto the fibrous support A), whereupon this solution saturates/impregnates the fibrous support. The solvent is then removed. It is preferable that the solvent is completely removed at low temperature, preferably <100° C., via, for example, thermal treatment or application of vacuum. The storable prepregs in turn freed from the solvent can then be further processed at the subsequent juncture to give composites. Through the process according to the invention, a very good impregnation of the fibrous support takes place, due to the fact that the solutions of the reactive polyurethane compositions wet the fibres of the support very well, as a result of which the thermal stress to the polyurethane composition due to prior melt homogenization capable of resulting in an incipient crosslinking reaction is avoided, furthermore the process steps of milling and screening into individual particle size fractions become unnecessary, so that a higher yield of impregnated fibrous support is attained.
",0,US10029427-20180724.txt,0
47,47,"The production of the solution of the polyurethane composition B) for the production of the prepregs can be effected in suitable units, such as for example heatable stirred kettles, kneaders or even extruders, during which upper temperature limits of 100° C. should not be exceeded.
",0,US10029427-20180724.txt,0
48,48,"In contrast to DE 102009001793.3 and DE 102009001806.9, according to the invention the solutions are brought together with the fibrous support and further processed into prepregs with the desired fibre volume content.
",0,US10029427-20180724.txt,0
49,49,"The production of the prepregs by the solution impregnation process according to the invention can in principle be effected by any methods and by means of the known plant and equipment.
",0,US10029427-20180724.txt,0
50,50,"Solution impregnation is used, inter alia, for the production of epoxy composites [“Composites Technologien, Paolo Ermanni (Version 4), Script for Lecture ETH Zürich, August 2007, Chapter 4.2.2”]. However, dissolved reactive polyurethane compositions are not mentioned there.
",0,US10029427-20180724.txt,0
51,51,"The high temperatures needed at least briefly during the melt impregnation process or during the incipient sintering of pulverulent reactive polyurethane compositions are not required in this process according to the invention. Any thermal stress on the reactive polyurethane compositions will occur only after the impregnation process during the removal of the solvent (C) used, and an upper temperature limit of 120° C. is used, preferably temperatures of from 80 to 100° C. should not be exceeded here, in order to inhibit any incipient reaction of the reactive matrix material.
",0,US10029427-20180724.txt,0
52,52,"The prepregs thus produced can be combined into different forms and cut to size as required.
",0,US10029427-20180724.txt,0
53,53,"For the consolidation of the prepregs into a single composite and for the crosslinking of the matrix material into the matrix, the prepregs are cut to size, if necessary sewn together or otherwise fixed and compressed in a suitable mould under pressure and if necessary application of vacuum. In the context of this invention, this process of the production of the composites from the prepregs is effected, depending on the curing time, at temperatures of above about 160° C. with the use of reactive matrix materials (modification I), or at temperatures of over 100° C. with highly reactive matrix materials provided with appropriate catalysts (modification II).
",0,US10029427-20180724.txt,0
54,54,"After cooling to room temperature, the prepregs produced according to the invention exhibit very high storage stability at room temperature, provided that the matrix material has a Tg of at least 40° C. Depending on the reactive polyurethane composition contained, this is at least several days at room temperature, but as a rule the prepregs are storage-stable for several weeks at 40° C. and below. The prepregs thus produced are not sticky and are thus very easy to handle and to process further. Hence the reactive or highly reactive polyurethane compositions used according to the invention exhibit very good adhesion and distribution on the fibrous support.
",0,US10029427-20180724.txt,0
55,55,"During the further processing of the prepregs to composites (composite materials) e.g. by compression at elevated temperatures, very good impregnation of the fibrous support takes place owing to the fact that the then liquid low viscosity reactive or highly reactive polyurethane compositions wet the fibres of the support very well before the crosslinking reaction, before a gelling occurs or the complete polyurethane matrix cures throughout due to the crosslinking reaction of the reactive or highly reactive polyurethane composition at elevated temperatures.
",0,US10029427-20180724.txt,0
56,56,"Depending on the composition of the reactive or highly reactive polyurethane composition used and catalysts that may have been added, both the rate of the crosslinking reaction in the production of the composite components and also the properties of the matrix can be varied over wide ranges.
",0,US10029427-20180724.txt,0
57,57,"In the context of the invention, the reactive or highly reactive polyurethane composition used for the production of the prepregs is defined as matrix material and in the description of the prepregs the still reactive or highly reactive polyurethane composition applied onto the fibres by the process according to the invention.
",0,US10029427-20180724.txt,0
58,58,"The matrix is defined as the matrix materials from the reactive or highly reactive polyurethane compositions crosslinked in the composite.
",0,US10029427-20180724.txt,0
59,59,"Support
",0,US10029427-20180724.txt,0
60,60,"The fibrous support in the present invention consists of fibrous material (also often referred to as reinforcing fibres). In general any material of which the fibres consist is suitable, however fibrous material of glass, carbon, plastics, such as for example polyamide (aramid) or polyester, natural fibres or mineral fibre materials such as basalt fibres or ceramic fibres (oxide fibres based on aluminium oxides and/or silicon oxides) is preferably used. Mixtures of fibre types, such as for example fabric combinations of aramid- and glass fibres, or carbon and glass fibres, can also be used. Likewise, hybrid composite components can be produced with prepregs from different fibrous supports.
",0,US10029427-20180724.txt,0
61,61,"Glass fibres are the most commonly used fibre types mainly owing to their relatively low price. In principle here, all types of glass-based reinforcing fibres are suitable (E glass, S glass, R glass, M glass, C glass, ECR glass, D glass, AR glass, or hollow glass fibres). Carbon fibres are generally used in high performance composite materials where the lower density with at the same time higher strength compared to glass fibres is also an important factor. Carbon fibres (also carbon fibres) are industrially produced fibres from carbon-containing starting materials which are converted by pyrolysis to carbon in graphite-like configuration. A distinction is made between isotropic and anisotropic types: isotropic fibres have only low strength values and lower industrial significance, anisotropic fibres exhibit high strength and rigidity values with at the same time low elongation at break.
",0,US10029427-20180724.txt,0
62,62,"Here, all textile fibres and fibre materials which are obtained from plant and animal material (e.g. wood, cellulose, cotton, hemp, jute, flax, sisal or bamboo fibres) are described as natural fibres. Aramid fibres, similarly also to carbon fibres, have a negative coefficient of thermal expansion, i.e. become shorter on heating. Their specific strength and their modulus of elasticity is markedly lower than that of carbon fibres. In combination with the positive coefficient of expansion of the matrix resin, highly dimensionally stable components can be manufactured. Compared to carbon fibre reinforced plastics, the pressure resistance of aramid fibre composite materials is markedly lower. Well-known brand names for aramid fibres are Nomex® and Kevlar® from DuPont, or Teijinconex®, Twaron® and Technora® from Teijin. Supports made of glass fibres, carbon fibres, aramid fibres or ceramic fibres are particularly suitable. The fibrous material is a planar textile body. Planar textile bodies of non-woven material, likewise so-called knitted goods, such as hosiery and knitted fabrics, but also non-knitted skein such as fabric, non-woven or netting, are suitable. In addition, a distinction is made between long fibre and short fibre materials as supports. Also suitable according to the invention are rovings and yarns. All the said materials are suitable as fibrous supports in the context of the invention. An overview of reinforcing fibres is contained in “Composites Technologien, Paolo Ermanni (Version 4), Script for Lecture ETH Zürich, August 2007, Chapter 7”.
",0,US10029427-20180724.txt,0
63,63,"Matrix Material
",0,US10029427-20180724.txt,0
64,64,"In principle, all reactive polyurethane compositions, even those other than those storage-stable at room temperature, are suitable as matrix materials. According to the invention, suitable polyurethane compositions consist of mixtures of a polymer b) having functional groups—reactive towards NCO groups—(binder), also referred to as resin, and di- or polyisocyanates temporarily deactivated, in other words internally blocked and/or blocked with blocking agents, also described as curing agent a) (component a)).
",0,US10029427-20180724.txt,0
65,65,"As functional groups of the polymers b) (binder), hydroxyl groups, amino groups and thiol groups which react with the free isocyanate groups by addition and thus crosslink and cure the polyurethane composition are suitable. The binder components must be of solid resin nature (glass temperature greater than room temperature). Possible binders are polyesters, polyethers, polyacrylates, polycarbonates and polyurethanes with an OH number of 20 to 500 mg KOH/gram and an average molecular weight of 250 to 6000 g/mol. Hydroxyl group-containing polyesters or polyacrylates with an OH number of 20 to 150 mg KOH/gram and an average molecular weight of 500 to 6000 g/mol are particularly preferred. Of course mixtures of such polymers can also be used. The quantity of the polymers b) having functional groups is selected such that for each functional group of the component b) 0.6 to 2 NCO equivalents or 0.3 to 1 uretdione group of the component a) are consumed.
",0,US10029427-20180724.txt,0
66,66,"As the curing component a), di- and polyisocyanates blocked with blocking agents or internally blocked (uretdione) are used.
",0,US10029427-20180724.txt,0
