,para,label,document,predictions
94,"<img> id-US20180072767A1-20180315-C00013.TIF </img>
",0,data/dev/US20180072767A1.txt,1
99,"<img> id-US20180072767A1-20180315-C00014.TIF </img>
",0,data/dev/US20180072767A1.txt,1
114,"<img> id-US20180072767A1-20180315-C00015.TIF </img>
",0,data/dev/US20180072767A1.txt,1
121,"<img> id-US20180072767A1-20180315-C00016.TIF </img>
",0,data/dev/US20180072767A1.txt,1
159,"<img> id-US20180072767A1-20180315-C00017.TIF </img>
",0,data/dev/US20180072767A1.txt,1
172,"<img> id-US20180072767A1-20180315-C00024.TIF </img>
",0,data/dev/US20180072767A1.txt,1
173,"(A) Syntheses of alkyne- and azide-modified TMM reporters 1-4. a) TMSCl, Et3N; b) K2CO3, CH3OH (92% over two steps, ref. 31); c) carboxylic acid, DCC, DMAP, CH2Cl2; d) Dowex H+ resin, CH3OH (yields over two steps are given). (B) Syntheses of TCO- and fluorescein-modified TMM reporters 5 and 6. e) Pd/C, H2, CH3OH; f) NHS-TCO, Et3N, N,N'-dimethylformamide (DMF); g) FITC, Et3N, DMF; h) reaction of 8 with any commercially available amine-reactive reagent will provide access to custom TMM reporters.
",0,data/dev/US20180072767A1.txt,1
175,"6-O-(6-heptynoyl)-α,α-D-trehalose (O-AlkTMM or O-AlkTMM-CT)
",1,data/dev/US20180072767A1.txt,0
184,"Unlabeled probes for competition experiments: 6-O-(6-heptanoyl)-α,α-D-trehalose and N-(6-heptanoyl)-6-amino-6-deoxy-α,α-D-trehalose
",1,data/dev/US20180072767A1.txt,0
193,"6-O-(10-undecynoyl)-α,α-D-trehalose (O-AlkTMM-C11)
",1,data/dev/US20180072767A1.txt,0
197,"6-O-(5-azidopentanoyl)-α,α-D-trehalose
",1,data/dev/US20180072767A1.txt,0
220,"General Procedures for Bacterial Labeling.
",0,data/dev/US20180072767A1.txt,1
250,"General Procedures for Bacterial Labeling.
",0,data/dev/US20180072767A1.txt,1
267,"FRET-TDM (5) was synthesized from diol 1 as shown in Scheme 4 and described below. (Compound numbering in this Example refers to Scheme 4)
",0,data/dev/US20180072767A1.txt,1
270,"<img> id-US20180072767A1-20180315-C00032.TIF </img>
",0,data/dev/US20180072767A1.txt,1
603,"Method 1
",0,data/dev/US20200121691A1.txt,1
623,"Method 2
",0,data/dev/US20200121691A1.txt,1
644,"Method 3
",0,data/dev/US20200121691A1.txt,1
705,"<img> id-US20200121691A1_00010.PNG </img>
",1,data/dev/US20200121691A1.txt,0
