,para,label,document,predictions
70,"ZD001 & 2-fluoro-5-(pyridin-2-ethynyl)-N-(4-fluor ophenyl)benzamide & <img> id-imgb0019.tif </img>
",0,EP3284738A1.txt,2
71,"ZD002 & (2-chloro-5-(pyridin-2-ethynyl)phenyl)(7-oxa-2-aza-spiro[3.5]nonan-2-yl)methanone & <img> id-imgb0020.tif </img>
",0,EP3284738A1.txt,2
72,"ZD003 & (2-chloro-5-(pyridin-2-ethynyl)phenyl)(8-oxa-2-aza-spiro[4.5]dec-2-yl)methanone & <img> id-imgb0021.tif </img>
",0,EP3284738A1.txt,2
73,"ZD004 & 2-fluoro-N-(4-fluorophenyl)-5-((2-methylt hiazol-4-yl)ethynyl)benzamide & <img> id-imgb0022.tif </img>
",0,EP3284738A1.txt,2
76,"ZD007 & (3-((2-methylthiazol-4-yl)phenyl)(7-oxa-2 -aza-spiro[3.5]nonan-2-yl)methanone & <img> id-imgb0025.tif </img>
",0,EP3284738A1.txt,2
80,"ZD011 & (1-methyl-3,4-dihydro-isoquinolin-2(1H)-yl-3-((2-methyl-thiazol-4-yl)ethynyl)phen yl)methanone & <img> id-imgb0029.tif </img>
",0,EP3284738A1.txt,2
81,"ZD012 & (3,4-dihydro-isoquinolin-2(1H)-yl)(3-((2-methyl-thiazol-4-yl)ethynyl)phenyl)metha none & <img> id-imgb0030.tif </img>
",0,EP3284738A1.txt,2
97,"ZD046 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-(pyridin-2-ylethynyl)phenyl)methano ne & <img> id-imgb0046.tif </img>
",0,EP3284738A1.txt,2
98,"ZD047 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-((2-methyl-thiazol-4-yl)ethynyl)phen yl)methanone & <img> id-imgb0047.tif </img>
",0,EP3284738A1.txt,2
99,"ZD048 & (2-fluoro-5-(pyridin-2-ylethynyl)phenyl)( 1-methyl-3,4-dihydro-isoquinolin-2(1H)-y l)methanone & <img> id-imgb0048.tif </img>
",0,EP3284738A1.txt,2
100,"ZD049 & (2-fluoro-5-((2-methyl-thiazol-4-yl)ethyn yl)phenyl)(1-methyl-3,4-dihydro-isoquino lin-2(1H)-yl)methanone & <img> id-imgb0049.tif </img>
",0,EP3284738A1.txt,2
101,"ZD050 & 2-fluoro-5-((2-methylthiazol-4-ylethynyl)-N-(pyridin-3-yl)nicotinamide & <img> id-imgb0050.tif </img>
",0,EP3284738A1.txt,2
102,"ZD051 & 2-fluoro-N-(4-fluorophenyl)-5-(pyridin-2-ylethynyl)nicotinamide & <img> id-imgb0051.tif </img>
",0,EP3284738A1.txt,2
103,"ZD052 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-((2-methyl-thiazol-4-yl)ethynyl)pyrid in-3-yl)methanone & <img> id-imgb0052.tif </img>
",0,EP3284738A1.txt,2
104,"ZD053 & 2-fluoro-N-(4-fluorophenyl)-5-((2-methylt hiazol-4-yl)ethynyl)nicotinamide & <img> id-imgb0053.tif </img>
",0,EP3284738A1.txt,2
