,para,label,document,predictions
147,"Synthesis & Characterization of O- and N-AlkTMMs
",0,data/dev/US20180072767A1.txt,1
172,"<img> id-US20180072767A1-20180315-C00024.TIF </img>
",0,data/dev/US20180072767A1.txt,1
173,"(A) Syntheses of alkyne- and azide-modified TMM reporters 1-4. a) TMSCl, Et3N; b) K2CO3, CH3OH (92% over two steps, ref. 31); c) carboxylic acid, DCC, DMAP, CH2Cl2; d) Dowex H+ resin, CH3OH (yields over two steps are given). (B) Syntheses of TCO- and fluorescein-modified TMM reporters 5 and 6. e) Pd/C, H2, CH3OH; f) NHS-TCO, Et3N, N,N'-dimethylformamide (DMF); g) FITC, Et3N, DMF; h) reaction of 8 with any commercially available amine-reactive reagent will provide access to custom TMM reporters.
",0,data/dev/US20180072767A1.txt,1
175,"6-O-(6-heptynoyl)-α,α-D-trehalose (O-AlkTMM or O-AlkTMM-CT)
",1,data/dev/US20180072767A1.txt,0
184,"Unlabeled probes for competition experiments: 6-O-(6-heptanoyl)-α,α-D-trehalose and N-(6-heptanoyl)-6-amino-6-deoxy-α,α-D-trehalose
",1,data/dev/US20180072767A1.txt,0
270,"<img> id-US20180072767A1-20180315-C00032.TIF </img>
",0,data/dev/US20180072767A1.txt,1
353,"Method:
",0,data/dev/US20200121691A1.txt,1
603,"Method 1
",0,data/dev/US20200121691A1.txt,1
623,"Method 2
",0,data/dev/US20200121691A1.txt,1
644,"Method 3
",0,data/dev/US20200121691A1.txt,1
705,"<img> id-US20200121691A1_00010.PNG </img>
",1,data/dev/US20200121691A1.txt,0
711,"<img> id-US20200121691A1_00011.PNG </img>
",1,data/dev/US20200121691A1.txt,0
713,"Example 1b
",0,data/dev/US20200121691A1.txt,1
717,"<img> id-US20200121691A1_00012.PNG </img>
",1,data/dev/US20200121691A1.txt,0
719,"Example 2a
",0,data/dev/US20200121691A1.txt,1
722,"<img> id-US20200121691A1_00013.PNG </img>
",1,data/dev/US20200121691A1.txt,0
725,"Example 2b
",0,data/dev/US20200121691A1.txt,1
728,"<img> id-US20200121691A1_00014.PNG </img>
",1,data/dev/US20200121691A1.txt,0
731,"Example 2c
",0,data/dev/US20200121691A1.txt,1
734,"<img> id-US20200121691A1_00015.PNG </img>
",1,data/dev/US20200121691A1.txt,0
737,"Example 2d
",0,data/dev/US20200121691A1.txt,1
740,"<img> id-US20200121691A1_00016.PNG </img>
",1,data/dev/US20200121691A1.txt,0
743,"Example 2e
",0,data/dev/US20200121691A1.txt,1
750,"Example 2f
",0,data/dev/US20200121691A1.txt,1
756,"Example 2g
",0,data/dev/US20200121691A1.txt,1
760,"<img> id-US20200121691A1_00019.PNG </img>
",1,data/dev/US20200121691A1.txt,0
763,"Example 2h
",0,data/dev/US20200121691A1.txt,1
766,"<img> id-US20200121691A1_00020.PNG </img>
",1,data/dev/US20200121691A1.txt,0
769,"Example 2i
",0,data/dev/US20200121691A1.txt,1
772,"<img> id-US20200121691A1_00021.PNG </img>
",1,data/dev/US20200121691A1.txt,0
775,"Example 2k
",0,data/dev/US20200121691A1.txt,1
782,"Example 2j
",0,data/dev/US20200121691A1.txt,1
