,index,para,label,document,predictions
0,0,"TITLE
",0,US08598138-20131203.txt,0
1,1,"Amphiphilic nucleotide cochleate compositions and methods of using the same
",0,US08598138-20131203.txt,0
2,2,"ABSTRACT
",0,US08598138-20131203.txt,0
3,3,"The present invention is directed to siRNA-cochleate compositions that include a siRNA that is associated with a cochleate and a positively charged amphiphile. The present invention also includes methods for making and using the compositions provided herein.
",0,US08598138-20131203.txt,0
4,4,"RELATED APPLICATIONS
",0,US08598138-20131203.txt,0
5,5,"The present application is a continuation application of U.S. application Ser. No. 12/438,266, filed Feb. 20, 2009 and now abandoned, which, in turn, is a U.S. National Phase Application of PCT/US2007/018553, filed Aug. 22, 2007, which claims priority to U.S. Provisional Application Ser. No. 60/839,962 filed Aug. 23, 2006, and the entire contents of each of the aforementioned applications are hereby incorporated herein by reference.
",0,US08598138-20131203.txt,0
6,6,"FIELD OF THE INVENTION
",0,US08598138-20131203.txt,0
7,7,"The present application relates to cochleate compositions that include a nucleotide associated with a positively charged amphiphile and methods of making and using the same.
",0,US08598138-20131203.txt,0
8,8,"BACKGROUND OF THE INVENTION
",0,US08598138-20131203.txt,0
9,9,"Cochleate structures were first prepared by D. Papahadjopoulos as an intermediate in the preparation of large unilamellar vesicles. U.S. Pat. No. 4,078,052. COchleate compositions incorporating a variety of cargo moieties, methods of making and methods of using such cochleates have also been disclosed, e.g., in U.S. Pat. Nos. 5,840,707, 5,994,318, and 6,153,217, and International Application No. WO 04/091578. Specifically, U.S. Pat. No. 5,840,707 discloses protein-cochleates and polynucleotide-cochleates. The entire contents of these patents are incorporated by this reference.
",0,US08598138-20131203.txt,0
10,10,"Additionally, positively charged amphiphiles, e.g., esters of L-carnitine, have been used as transfection agents, as well as in the formation of liposomes for delivery of molecules, e.g., nucleotides. Specifically, U.S. Pat. No. 6,797,281 discloses compounds which are used as cationic lipids for delivery of pharmacologically active compounds, e.g., taxol liposomes and the like.
",0,US08598138-20131203.txt,0
11,11,"BRIEF SUMMARY OF THE INVENTION
",0,US08598138-20131203.txt,0
12,12,"The present invention is directed, at least in part, to nucleotide-cochleate compositions and methods of manufacture and administration. The composition may generally include a cochleate; and a nucleotide associated with the cochleate wherein the nucleotide is associated with a positively charged amphiphile.
",0,US08598138-20131203.txt,0
13,13,"In some embodiments, the positively charged amphiphile is a compound of formula (I):
",0,US08598138-20131203.txt,0
14,14,"wherein: R is selected from H, a C2-C26 acyl group and a C4-C26 aliphatic group;
",0,US08598138-20131203.txt,0
15,15,"R1 is selected from
",0,US08598138-20131203.txt,0
16,16,"R2 and R3 are each independently a C4-C26 aliphatic group; optionally one or more of R, R2 and R3 can be:
",0,US08598138-20131203.txt,0
17,17,"R4 and R5 are each independently a C3-C20 acyl group;
",0,US08598138-20131203.txt,0
